index,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group,med_spread_1,med_spread_2,med_spread_3,med_spread_4
182,2018-06-01,95220.0,31.01,20.5504,0.118536998194,224.71,813.0915135,ARCA,,0.056301625,0.04394175,0.0414387777778,0.0318536666667
183,2018-06-01,572355.0,8.13,36.1536,0.529593040069,948.54,910.903292,NYSE,Agriculture,0.04702325,0.012430375,0.01,0.01
184,2018-06-01,541565.0,53.09,15.5648,0.272487839206,16405.09,220.758795,NYSE,Electric,0.11064225,0.065267125,0.0217054444444,0.0125085555556
185,2018-06-01,947868.0,0.56,96.3072,0.478520783434,19.18,2090.1397825,NASDAQ,Pharmaceuticals,0.01533775,0.008663625,0.00649233333333,0.005613
186,2018-06-01,145163.0,25.32,47.7312,0.600030897041,892.38,224.126795,NYSE,Computers,0.34890675,0.23012175,0.0964313333333,0.0525063333333
187,2018-06-01,63206.0,4.5,73.1904,0.931942259215,81.5,834.6587625,NASDAQ,Biotechnology,0.1093665,0.077887,0.0520791111111,0.050000125
188,2018-06-01,1854.0,25.39,19.3536,-0.0289987344322,52.05,600.611359,BATS,,0.06648725,0.05214325,0.0515272222222,0.0461996666667
189,2018-06-01,2232352.0,7.09,30.4128,0.121124969631,1369.12,5470.9174815,NYSE,Mining,0.01,0.01,0.01,0.01
190,2018-06-01,149789.0,38.7,37.4336,0.964172510752,602.47,370.914457,NYSE,Engineering&Construction,0.23774475,0.14913675,0.0963094444444,0.0715897777778
191,2018-06-01,21799.0,14.22,39.8208,0.57597060194,330.4,227.3861545,NASDAQ,Computers,0.2943705,0.195560625,0.0830593333333,0.0738968888889
192,2018-06-01,1681.0,47.91,4.1088,-0.00574963647111,33.54,182.44448,NASDAQ,,0.213235333333,0.220026166667,0.19661425,0.192857142857
193,2018-06-01,14592.0,111.45,2.5152,-0.0185926014104,417.94,837.1858415,ARCA,,0.149377625,0.11015225,0.09731,0.0968024444444
194,2018-06-01,11212.0,4.75,38.8864,0.0314502271699,103.13,856.397932,NYSE,Media,0.063715,0.05,0.05,0.051569875
195,2018-06-01,107326.0,28.37,30.5984,0.374308629037,1698.31,508.179494,NASDAQ,Coal,0.162749142857,0.09903525,0.0676432222222,0.0553702222222
196,2018-06-01,234976.0,14.4,19.7376,0.285026762292,651.41,498.461685,NYSE,REITS,0.0598065,0.01088675,0.01,0.0108136666667
197,2018-06-01,20266.0,25.96,9.8432,0.00877503317711,,420.2162045,NYSE,Insurance,0.0886451428571,0.06281625,0.0487531111111,0.0356703333333
198,2018-06-01,11164.0,24.43,11.3472,0.0290738481304,,252.629742,NYSE,Insurance,0.123135875,0.12062,0.070473375,0.105119333333
199,2018-06-01,303466.0,43.4,26.2144,0.466603461309,2588.93,855.1374835,NYSE,Insurance,0.11667375,0.0783845,0.05,0.05
200,2018-06-01,8530.0,10.01,11.9488,-0.0593425216519,392.93,2690.6898035,NASDAQ,Holding Companies-Divers,,,0.0543333333333,
201,2018-06-01,,10.14,,1.0,392.93,,NASDAQ,Holding Companies-Divers,,,,
202,2018-06-01,9812.0,2.48,102.7008,0.849382620275,9.95,709.4668995,NASDAQ,Healthcare-Products,0.2139165,0.231851333333,0.122347111111,0.164653
203,2018-06-01,4356.0,25.81,5.7856,0.0361338475066,,235.0445495,NYSE,REITS,0.1310775,0.101091875,0.102341555556,0.094634
204,2018-06-01,2087.0,23.3793,12.6208,0.0332290454878,,241.361981,NYSE,REITS,0.178371833333,0.1662895,0.145941111111,0.13275925
205,2018-06-01,5292.0,23.463,13.5424,0.0354098664112,,455.81003,NYSE,REITS,0.183312,0.1644515,0.100097125,0.103658888889
206,2018-06-01,8682.0,23.73,12.7744,0.00293223538968,,303.230065,NYSE,REITS,0.301377166667,0.1985265,0.0955105555556,0.0976854444444
207,2018-06-01,28187.0,23.41,11.1808,-0.023847643181,,248.451656,NYSE,REITS,0.0829304,0.07174525,0.0520305555556,0.0628571111111
208,2018-06-01,317772.0,7.37,22.4384,0.457255874294,726.95,1414.183946,NYSE,REITS,0.015918625,0.01,0.01,0.01
209,2018-06-01,57869.0,66.42,10.9888,0.671096276368,996.3,337.83965,NASDAQ,,0.0685195,0.064272125,0.063058,0.0511455555556
210,2018-06-01,2818.0,24.52,8.8768,-0.0629986848321,,121.640812,NYSE,Diversified Finan Serv,0.2524842,0.215690125,0.192979,0.150626111111
211,2018-06-01,4226.5,23.65,13.8752,-0.00669028052661,,425.09147675,NYSE,Diversified Finan Serv,0.339766,0.38,0.266622,0.20713625
212,2018-06-01,42711.0,27.5,12.6336,0.685565701003,134.75,1145.4862065,ARCA,,0.0783545,0.0605365,0.0421178888889,0.0403671111111
213,2018-06-01,51162.0,15.85,8.2496,0.0262385332092,229.25,499.169889,NYSE,,0.087221125,0.037490875,0.0173856666667,0.0183344444444
214,2018-06-01,3625286.0,52.79,17.1072,0.794272671066,47388.7,682.219551,NYSE,Insurance,0.026037375,0.01298325,0.01,0.01
215,2018-06-01,64898.0,5.6,95.6032,-0.401821434271,144.92,304.170963,NASDAQ,Internet,0.4148964,0.2668124,0.152802555556,0.1214575
216,2018-06-01,76057.0,41.35,25.536,1.02888835251,1215.0,280.6779215,NASDAQ,Machinery-Diversified,0.904341,0.220458375,0.105838111111,0.0713427777778
217,2018-06-01,388248.0,33.09,42.3936,1.24107367898,1922.38,226.070544,NASDAQ,Pharmaceuticals,0.17625325,0.09523175,0.0407291111111,0.0215255555556
218,2018-06-01,4633.0,77.425,69.4592,-0.0124374751138,162.85,149.862906,AMEX,Diversified Finan Serv,6.89416625,6.17228775,1.77689244444,1.18847355556
219,2018-06-01,70831.0,61.5,24.832,0.992833543438,1980.3,218.5735105,NYSE,Machinery-Diversified,0.481322,0.181101625,0.119490111111,0.0791371111111
220,2018-06-01,790747.0,5.69,15.7824,0.224135744655,1230.82,3789.228477,NASDAQ,Investment Companies,0.010900125,0.01,0.01,0.01
221,2018-06-01,69697.0,1.3,97.7408,0.317766048541,15.35,1453.816413,NASDAQ,Biotechnology,0.02267525,0.015246,0.0136921111111,0.01649175
222,2018-06-01,26675.0,15.02,11.0656,0.591771284877,52.57,339.385568,NASDAQ,,0.0685118333333,0.0583157142857,0.0426343333333,0.0501836
223,2018-06-01,38305.0,8.25,48.0768,0.299698825711,79.78,278.625315,NASDAQ,Telecommunications,0.218201428571,0.121801714286,0.0636667777778,0.0448655555556
224,2018-06-01,21401.0,1.7,60.7744,0.32110807678,44.55,1158.437995,AMEX,Aerospace/Defense,0.036324125,0.030933875,0.0189313333333,0.0180282222222
225,2018-06-01,15153.0,26.42,16.8384,0.28298264384,192.87,1441.6363635,NASDAQ,,0.16032025,0.10420475,0.0455816666667,0.0427066666667
226,2018-06-01,1147.0,31.15,60.3008,0.203045099462,63.63,241.34841225,NASDAQ,Transportation,,1.16749,2.4277,4.382545
227,2018-06-01,119555.0,44.69,23.808,1.01388037539,1548.01,177.816277,NYSE,Aerospace/Defense,0.30634925,0.11493775,0.0531313333333,0.0176616666667
228,2018-06-01,152181.0,69.75,25.2928,0.88158006279,2699.07,257.3996265,NYSE,Machinery-Diversified,0.432130875,0.186133625,0.101161444444,0.074572
229,2018-06-01,413333.0,11.44,15.7888,0.334544694613,321.93,1661.185009,NYSE,Diversified Finan Serv,0.012597375,0.01,0.01,0.01
